School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Child in Crisis,On-Site,No,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
AUTOMOTIVE HS(BN) ,Arrested,Off-Site,No,Full-Time,N,N,N,PATROL,Metal,N,None,ROBBERY,,F
AUTOMOTIVE HS(BN) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
AVIATION CAREER & TECHNICAL EDUCATION HS(QN) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
BANANA KELLY HS(XE) ,Summons,On-Site,No,Unannounced,Y,Y,Y,UTF,No Restraints,N,None,,POSS. OF KNIFE,V
BANANA KELLY HS(XE) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
BANANA KELLY HS(XE) ,Juvenile Report,On-Site,No,Unannounced,Y,Y,Y,SSA,No Restraints,N,None,,,V
BANANA KELLY HS(XE) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
BANANA KELLY HS(XE) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
BANANA KELLY HS(XE) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Bard HS Early College II(QN),Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,M
Bard HS Early College II(QN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Bard HS Early College II(QN),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
BARD HS(MS),Juvenile Report,Off-Site,No,Non-Scanning,N,N,N,PATROL,No Restraints,N,None,,,M
BARUCH COLLEGE  HS(MS) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
BARUCH COLLEGE  HS(MS) ,Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Battery Park City School(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
Baychester Academy(XE),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,SSA,Velcro,N,None,,,
BAYSIDE HS(QN) ,PINS / Warrant,Off-Site,No,Non-Scanning,N,N,N,PATROL,Metal,N,None,,,
BAYSIDE HS(QN) ,Juvenile Report,Off-Site,No,Non-Scanning,N,N,N,DB,Metal,N,None,,,M
BAYSIDE HS(QN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,FORCIBLE TOUCH,,M
BEACH CHANNEL HS(QS) ,Arrested,On-Site,No,Full-Time,N,Y,Y,UTF,Metal,N,None,ASSAULT,,F
BEACH CHANNEL HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,N,PATROL,Metal,N,None,ASSAULT,,F
BEACH CHANNEL HS(QS) ,Juvenile Report,On-Site,No,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
BEACH CHANNEL HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
