County FIPS,County Name,State Name,5 digit 2024 jobs,6 digit 2024 jobs,Total,Share
8041,El Paso,Colorado,0,41,41,0.0%
29087,Holt,Missouri,0,41,41,3.1%
49005,Cache,Utah,0,41,41,0.1%
39019,Carroll,Ohio,40,1,41,0.7%
26041,Delta,Michigan,0,41,41,0.3%
48221,Hood,Texas,0,41,41,0.2%
40063,Hughes,Oklahoma,0,41,41,1.4%
47189,Wilson,Tennessee,1,40,41,0.1%
53049,Pacific,Washington,41,0,41,0.6%
12071,Lee,Florida,1,39,40,0.0%
48169,Garza,Texas,0,40,40,2.4%
21219,Todd,Kentucky,24,16,40,1.5%
29163,Pike,Missouri,0,40,40,0.7%
25009,Essex,Massachusetts,31,8,39,0.0%
48349,Navarro,Texas,0,39,39,0.2%
21159,Martin,Kentucky,35,5,39,2.1%
27019,Carver,Minnesota,0,39,39,0.1%
21015,Boone,Kentucky,3,37,39,0.0%
22023,Cameron,Louisiana,0,39,39,0.9%
38009,Bottineau,North Dakota,0,39,39,1.6%
47117,Marshall,Tennessee,0,39,39,0.4%
29059,Dallas,Missouri,0,39,39,1.4%
12061,Indian River,Florida,0,39,39,0.1%
38039,Griggs,North Dakota,0,39,39,4.9%
24001,Allegany,Maryland,39,0,39,0.1%
8125,Yuma,Colorado,0,38,38,1.0%
17191,Wayne,Illinois,0,38,38,0.9%
6061,Placer,California,0,38,38,0.0%
42027,Centre,Pennsylvania,4,34,38,0.1%
26011,Arenac,Michigan,0,38,38,0.9%
8017,Cheyenne,Colorado,0,38,38,5.2%
34041,Warren,New Jersey,0,37,37,0.1%
39021,Champaign,Ohio,0,37,37,0.4%
48285,Lavaca,Texas,0,37,37,0.6%
32510,Carson City,Nevada,0,37,37,0.1%
6021,Glenn,California,0,37,37,0.4%
41019,Douglas,Oregon,0,37,37,0.1%
26147,St. Clair,Michigan,0,37,37,0.1%
48213,Henderson,Texas,0,37,37,0.2%
21059,Daviess,Kentucky,7,30,36,0.1%
48037,Bowie,Texas,0,36,36,0.1%
24041,Talbot,Maryland,0,36,36,0.2%
38037,Grant,North Dakota,0,36,36,5.7%
56021,Laramie,Wyoming,0,36,36,0.1%
18033,DeKalb,Indiana,0,36,36,0.2%
48295,Lipscomb,Texas,0,36,36,2.9%
45079,Richland,South Carolina,1,35,36,0.0%
39121,Noble,Ohio,1,35,36,1.2%
48387,Red River,Texas,0,35,35,1.3%
37035,Catawba,North Carolina,6,29,35,0.0%
29037,Cass,Missouri,34,2,35,0.1%
28033,DeSoto,Mississippi,35,0,35,0.0%
53005,Benton,Washington,5,30,35,0.0%
17169,Schuyler,Illinois,31,4,35,2.1%
12111,St. Lucie,Florida,30,5,35,0.0%
29057,Dade,Missouri,0,35,35,2.1%
36049,Lewis,New York,0,35,35,0.5%
48317,Martin,Texas,0,35,35,1.5%
51720,Norton City,Virginia,35,0,35,1.1%
45055,Kershaw,South Carolina,34,0,34,0.2%
28093,Marshall,Mississippi,34,0,34,0.3%
48057,Calhoun,Texas,0,34,34,0.3%
12053,Hernando,Florida,7,27,34,0.1%
53021,Franklin,Washington,0,34,34,0.1%
51085,Hanover,Virginia,5,30,34,0.1%
47099,Lawrence,Tennessee,0,34,34,0.3%
28007,Attala,Mississippi,0,34,34,0.8%
20017,Chase,Kansas,0,34,34,4.5%
22127,Winn,Louisiana,0,34,34,0.8%
56033,Sheridan,Wyoming,5,29,34,0.2%
22025,Catahoula,Louisiana,0,34,34,1.5%
13023,Bleckley,Georgia,0,34,34,1.1%
8035,Douglas,Colorado,0,34,34,0.0%
24025,Harford,Maryland,0,34,34,0.0%
4003,Cochise,Arizona,0,33,33,0.1%
6103,Tehama,California,0,33,33,0.2%
27079,Le Sueur,Minnesota,0,33,33,0.4%
26005,Allegan,Michigan,0,33,33,0.1%
22099,St. Martin,Louisiana,0,33,33,0.3%
21175,Morgan,Kentucky,10,22,33,1.0%
26047,Emmet,Michigan,20,12,33,0.2%
54023,Grant,West Virginia,33,0,33,0.9%
39031,Coshocton,Ohio,6,27,32,0.3%
47113,Madison,Tennessee,0,32,32,0.1%
